author,comment,normalized_comment,likes,published_at,reply_count,time,relevance/keep for review,low_content,duplicate,other(notes),kategorisierung,vergleich,distinktheit,repräsentation,stereotypen,identität,position,fragment,sagbarkeitsfeld,macht_wissen,fantasy_booking
@Grisna_25-,Swerved,swerved,7,2024-04-28T02:20:27Z,0,,0,1,0,keep for review,,,,,,,,,,,
@PACNYY,"""WHO'S HOUSE!!!!!????""","""who's house!!!!!????""",30,2024-04-28T02:20:37Z,5,,1,1,0,catchphrase,0,0,0,0,0,0,1,0,0,0,0
@jeremiahalexander7550,Swerve’s House,swerve’s house,26,2024-04-28T02:20:59Z,0,,1,1,0,catchphrase,0,0,0,0,0,0,1,0,0,0,0
@gohsukbin5830,Will Ospreay vs swerve strickland for the aew championship in all in london,will ospreay vs swerve strickland for the aew championship in all in london,10,2024-04-28T02:21:02Z,7,,1,0,0,"fantasy booking, Liefert Kontext im Thread; allein wenig relevant ",0,0,0,0,0,0,2,0,0,0,1
@Theboys.store36186,*vibes to this banger of a song*,*vibes to this banger of a song*,24,2024-04-28T02:21:22Z,0,,0,0,0,,,,,,,,,,,,
@jakegrenard682,Whose *,whose *,2,2024-04-28T02:21:40Z,0,,0,1,0,,,,,,,,,,,,
@ahmedatef5838,Who's House its  swerve strickland house  not the House of black  and  it's the show of swerve strickland!❤🥰😍🤩👍👏,who's house its swerve strickland house not the house of black and it's the show of swerve strickland!❤🥰😍🤩👍👏,3,2024-04-28T02:21:41Z,5,,0,0,1,,,,,,,,,,,,
@CameronWilliams-gy8bw,The New AEW Champion Swerve Strickland …..Truth in the Details 🫡💪🏿🙌🏾☝🏾💯,the new aew champion swerve strickland …..truth in the details 🫡💪🏿🙌🏾☝🏾💯,36,2024-04-28T02:21:47Z,0,,1,0,0,"Durch die Verwendung von Symbolen (z. B. 💪🏿, 🙌🏾, ☝🏾) wird implizit die positive Repräsentation eines Schwarzen Champions betont. Diese Symbole betonen kulturelle und ethnische Identität im Zusammenhang mit Swerves Erfolg",0,0,0,1,0,1,1,0,0,0,0
@juanoro-barcenas79495,Kenny Omega vs Swerve Strickland for the AEW Championship needs to happen this year. That's a high caliber match worthy enough of Match of the Night in any given event.,kenny omega vs swerve strickland for the aew championship needs to happen this year. that's a high caliber match worthy enough of match of the night in any given event.,193,2024-04-28T02:21:56Z,17,,1,0,0,fantasy booking,0,0,0,0,0,0,1,0,0,0,1
@Ericavengersforever,Looks like Tony Khan really messed up with Swerve Wednesday and tryna fix his mistake now!,looks like tony khan really messed up with swerve wednesday and tryna fix his mistake now!,27,2024-04-28T02:22:06Z,5,,1,0,0,tony khan = owner/ceo/gm of aew,0,0,0,0,0,1,3,0,0,1,0
